player,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc
Stephen Curry,2022-10-17,280,122,187,26.7717003140068,589,0.045452801891352805,0.47538200339558573,0.2071307300509338,0.3174872665534805
Giannis Antetokounmpo,2022-10-17,60,19,27,7.92698323007078,106,0.0747828606610451,0.5660377358490566,0.1792452830188679,0.25471698113207547
Nikola Jokic,2022-10-17,58,10,16,8.99447317227395,84,0.1070770615746899,0.6904761904761905,0.11904761904761904,0.19047619047619047
Luka Doncic,2022-10-17,122,48,58,14.4982089360114,228,0.06358863568426053,0.5350877192982456,0.21052631578947367,0.2543859649122807
Kevin Durant,2022-10-17,173,61,84,20.9123878050946,318,0.06576222580218427,0.5440251572327044,0.1918238993710692,0.2641509433962264
Joel Embiid,2022-10-17,150,67,41,11.3498607041463,258,0.04399170815560582,0.5813953488372093,0.25968992248062017,0.15891472868217055
Jayson Tatum,2022-10-17,128,34,98,19.3823119124045,260,0.07454735350924807,0.49230769230769234,0.13076923076923078,0.3769230769230769
LeBron James,2022-10-17,550,273,410,64.9927856542453,1233,0.05271109947627356,0.44606650446066504,0.22141119221411193,0.33252230332522303
Devin Booker,2022-10-17,58,38,74,1.9027613946187,170,0.011192714085992353,0.3411764705882353,0.2235294117647059,0.43529411764705883
Ja Morant,2022-10-17,114,45,68,11.99578481216,227,0.05284486701392071,0.5022026431718062,0.19823788546255505,0.29955947136563876
Jimmy Butler,2022-10-17,189,49,3,25.2982781187733,241,0.1049721083766527,0.7842323651452282,0.2033195020746888,0.012448132780082987
Kawhi Leonard,2022-10-17,82,46,41,7.13821079735057,169,0.04223793371213355,0.48520710059171596,0.27218934911242604,0.24260355029585798
Trae Young,2022-10-17,237,47,4,36.1033970377618,288,0.12535901749222847,0.8229166666666666,0.16319444444444445,0.013888888888888888
Donovan Mitchell,2022-10-17,51,20,34,4.32795168251961,105,0.04121858745256771,0.4857142857142857,0.19047619047619047,0.3238095238095238
Kyrie Irving,2022-10-17,92,70,107,5.33631936101135,269,0.019837618442421375,0.3420074349442379,0.26022304832713755,0.39776951672862454
Paul George,2022-10-17,186,115,125,10.6067383870892,426,0.024898446918049766,0.43661971830985913,0.2699530516431925,0.2934272300469484
Zach LaVine,2022-10-17,16,9,18,2.33839314736664,43,0.0543812359852707,0.37209302325581395,0.20930232558139536,0.4186046511627907
Damian Lillard,2022-10-17,40,15,53,3.2017277294813,108,0.02964562712482685,0.37037037037037035,0.1388888888888889,0.49074074074074076
DeMar DeRozan,2022-10-17,65,62,56,2.99011267874839,183,0.016339413545073168,0.3551912568306011,0.33879781420765026,0.30601092896174864
Jaylen Brown,2022-10-17,94,43,102,11.0160789718912,239,0.046092380635528035,0.39330543933054396,0.1799163179916318,0.42677824267782427
Chris Paul,2022-10-17,180,107,122,13.715323788383,409,0.03353379899360147,0.4400977995110024,0.2616136919315403,0.2982885085574572
Bradley Beal,2022-10-17,42,9,29,8.12681513750442,80,0.10158518921880526,0.525,0.1125,0.3625
LaMelo Ball,2022-10-17,56,60,33,-3.67926806040695,149,-0.024693074230919126,0.37583892617449666,0.40268456375838924,0.2214765100671141
Pascal Siakam,2022-10-17,22,12,9,1.75822590014486,43,0.040888974421973485,0.5116279069767442,0.27906976744186046,0.20930232558139536
Anthony Edwards,2022-10-17,81,26,97,11.3921711352691,204,0.055843976153279906,0.39705882352941174,0.12745098039215685,0.47549019607843135
Brandon Ingram,2022-10-17,30,16,48,4.38271142702284,94,0.04662458964917915,0.3191489361702128,0.1702127659574468,0.5106382978723404
Anthony Davis,2022-10-17,162,102,128,8.90390767039574,392,0.022714050179580968,0.413265306122449,0.2602040816326531,0.32653061224489793
Khris Middleton,2022-10-17,37,87,40,-6.18969592628952,164,-0.03774204833103366,0.22560975609756098,0.5304878048780488,0.24390243902439024
Bam Adebayo,2022-10-17,73,30,13,8.16374180983671,116,0.07037708456755784,0.6293103448275862,0.25862068965517243,0.11206896551724138
Darius Garland,2022-10-17,26,9,19,3.97821981189237,54,0.07367073725726611,0.48148148148148145,0.16666666666666666,0.35185185185185186
Shai Gilgeous-Alexander,2022-10-17,10,6,10,1.2590960949966,26,0.04842677288448461,0.38461538461538464,0.23076923076923078,0.38461538461538464
Karl-Anthony Towns,2022-10-17,14,7,7,0.852400282051107,28,0.030442867216110964,0.5,0.25,0.25
James Harden,2022-10-17,162,216,22,-5.30729774548029,400,-0.013268244363700726,0.405,0.54,0.055
Jamal Murray,2022-10-17,60,29,43,3.78607752214631,132,0.02868240547080538,0.45454545454545453,0.2196969696969697,0.32575757575757575
De’Aaron Fox,2022-10-17,23,7,4,2.5458044348862,34,0.074876601026064707,0.6764705882352942,0.20588235294117646,0.11764705882352941
Dejounte Murray,2022-10-17,22,10,11,3.93552812928763,43,0.09152390998343325,0.5116279069767442,0.23255813953488372,0.2558139534883721
Rudy Gobert,2022-10-17,65,45,37,3.32637916795616,147,0.022628429713987482,0.4421768707482993,0.30612244897959184,0.25170068027210885
Andrew Wiggins,2022-10-17,111,33,48,19.4191439767191,192,0.1011413748787453,0.578125,0.171875,0.25
Domantas Sabonis,2022-10-17,5,0,2,1.24834149099367,7,0.17833449871338145,0.7142857142857143,0,0.2857142857142857
Deandre Ayton,2022-10-17,17,4,13,2.35295896559548,34,0.06920467545869059,0.5,0.11764705882352941,0.38235294117647056
Jrue Holiday,2022-10-17,74,11,0,15.9271008635877,85,0.18737765721867883,0.8705882352941177,0.12941176470588237,0
C.J. McCollum,2022-10-17,2,0,0,0.142433353354756,2,0.071216676677378,1,0,0
Klay Thompson,2022-10-17,72,78,52,0.433081991078759,202,0.0021439702528651436,0.3564356435643564,0.38613861386138615,0.25742574257425743
Marcus Smart,2022-10-17,240,89,6,41.4883033646383,335,0.12384568168548746,0.7164179104477612,0.2656716417910448,0.01791044776119403
Jarrett Allen,2022-10-17,35,5,8,4.58792456389672,48,0.09558176174784833,0.7291666666666666,0.10416666666666667,0.16666666666666666
RJ Barrett,2022-10-17,85,34,31,8.35738405306588,150,0.05571589368710587,0.5666666666666667,0.22666666666666666,0.20666666666666667
Cade Cunningham,2022-10-17,52,13,34,7.13982511468409,99,0.07211944560286959,0.5252525252525253,0.13131313131313133,0.3434343434343434
Tyrese Haliburton,2022-10-17,26,6,16,3.03257607769514,48,0.06317866828531542,0.5416666666666666,0.125,0.3333333333333333
Fred VanVleet,2022-10-17,13,4,0,1.89959790466335,17,0.11174105321549117,0.7647058823529411,0.23529411764705882,0
Jordan Poole,2022-10-17,449,182,162,55.2710978955075,793,0.06969873631211539,0.5662042875157629,0.22950819672131148,0.2042875157629256
Stephen Curry,2022-10-18,920,483,858,82.6362266124203,2261,0.03654853012490947,0.4068996019460416,0.21362229102167182,0.37947810703228657
Giannis Antetokounmpo,2022-10-18,143,54,63,13.682115377224,260,0.052623520681630766,0.55,0.2076923076923077,0.2423076923076923
Nikola Jokic,2022-10-18,134,33,51,16.8666070646956,218,0.07736975717750275,0.6146788990825688,0.15137614678899083,0.23394495412844038
Luka Doncic,2022-10-18,263,107,124,29.2918620701947,494,0.05929526734857227,0.5323886639676113,0.2165991902834008,0.25101214574898784
Kevin Durant,2022-10-18,283,186,156,14.972251011404,625,0.0239556016182464,0.4528,0.2976,0.2496
Joel Embiid,2022-10-18,891,765,360,-3.49857394332462,2016,-0.0017354037417284822,0.4419642857142857,0.3794642857142857,0.17857142857142858
Jayson Tatum,2022-10-18,1143,608,1366,129.535155783513,3117,0.0415576374024745,0.3666987487969201,0.19505935194096888,0.438241899262111
LeBron James,2022-10-18,1037,473,998,108.87097368188,2508,0.04340947913950558,0.4134768740031898,0.18859649122807018,0.39792663476874
Devin Booker,2022-10-18,99,53,93,6.41582106030731,245,0.0261870247359482,0.40408163265306124,0.2163265306122449,0.3795918367346939
Ja Morant,2022-10-18,249,133,163,19.4361218796665,545,0.035662608953516514,0.45688073394495415,0.24403669724770644,0.29908256880733947
Jimmy Butler,2022-10-18,456,159,6,62.4781944862112,621,0.10060900883447858,0.7342995169082126,0.2560386473429952,0.00966183574879227
Kawhi Leonard,2022-10-18,114,45,110,10.740847764831,269,0.0399288020997435,0.42379182156133827,0.16728624535315986,0.40892193308550184
Trae Young,2022-10-18,354,103,4,49.0070492433191,461,0.10630596365145141,0.7678958785249458,0.22342733188720174,0.008676789587852495
Donovan Mitchell,2022-10-18,119,36,60,13.9136489282075,215,0.0647146461777093,0.5534883720930233,0.16744186046511628,0.27906976744186046
Kyrie Irving,2022-10-18,137,105,120,3.85970439723942,362,0.010662166843202817,0.3784530386740331,0.2900552486187845,0.3314917127071823
Paul George,2022-10-18,213,132,203,12.302783697076,548,0.022450335213642335,0.3886861313868613,0.24087591240875914,0.3704379562043796
Zach LaVine,2022-10-18,54,67,19,-4.96290582702452,140,-0.03544932733588943,0.38571428571428573,0.4785714285714286,0.1357142857142857
Damian Lillard,2022-10-18,88,28,71,9.90210844376847,187,0.05295245157095438,0.47058823529411764,0.1497326203208556,0.37967914438502676
DeMar DeRozan,2022-10-18,43,22,35,4.11019237269453,100,0.0411019237269453,0.43,0.22,0.35
Jaylen Brown,2022-10-18,1185,746,1239,77.2015514257615,3170,0.024353801711596686,0.37381703470031546,0.23533123028391167,0.39085173501577286
Chris Paul,2022-10-18,304,180,218,24.3367488804648,702,0.034667733447955554,0.43304843304843305,0.2564102564102564,0.31054131054131057
Bradley Beal,2022-10-18,72,32,29,6.72011134313387,133,0.05052715295589376,0.5413533834586466,0.24060150375939848,0.21804511278195488
LaMelo Ball,2022-10-18,56,54,61,-0.0183284049657751,171,-1.071836547706146e-4,0.32748538011695905,0.3157894736842105,0.3567251461988304
Pascal Siakam,2022-10-18,35,13,19,4.13956179487644,67,0.061784504401140895,0.5223880597014925,0.19402985074626866,0.2835820895522388
Anthony Edwards,2022-10-18,191,45,184,31.1088211354663,420,0.07406862175111024,0.45476190476190476,0.10714285714285714,0.4380952380952381
Brandon Ingram,2022-10-18,80,25,48,10.1013605998303,153,0.0660219647047732,0.5228758169934641,0.16339869281045752,0.3137254901960784
Anthony Davis,2022-10-18,871,665,946,56.1129234835239,2482,0.02260794660899432,0.3509266720386785,0.2679290894439968,0.38114423851732476
Khris Middleton,2022-10-18,41,24,14,4.25146314312038,79,0.053815989153422526,0.5189873417721519,0.3037974683544304,0.17721518987341772
Bam Adebayo,2022-10-18,149,52,45,17.8111365488471,246,0.07240299410100447,0.6056910569105691,0.21138211382113822,0.18292682926829268
Darius Garland,2022-10-18,74,13,38,11.8959168401758,125,0.0951673347214064,0.592,0.104,0.304
Shai Gilgeous-Alexander,2022-10-18,30,13,28,2.47940539661751,71,0.0349212027692607,0.4225352112676056,0.18309859154929578,0.39436619718309857
Karl-Anthony Towns,2022-10-18,58,22,30,4.55427807486406,110,0.041402527953309634,0.5272727272727272,0.2,0.2727272727272727
James Harden,2022-10-18,1328,3534,138,-397.757921742986,5000,-0.0795515843485972,0.2656,0.7068,0.0276
Jamal Murray,2022-10-18,129,57,70,14.9439658246178,256,0.05837486650241328,0.50390625,0.22265625,0.2734375
De’Aaron Fox,2022-10-18,18,8,10,1.66023876234284,36,0.04611774339841222,0.5,0.2222222222222222,0.2777777777777778
Dejounte Murray,2022-10-18,50,17,17,7.16620404677297,84,0.08531195293777345,0.5952380952380952,0.20238095238095238,0.20238095238095238
Rudy Gobert,2022-10-18,199,88,88,18.4467238717808,375,0.049191263658082136,0.5306666666666666,0.23466666666666666,0.23466666666666666
Andrew Wiggins,2022-10-18,239,90,191,35.849648673379,520,0.06894163206419039,0.4596153846153846,0.17307692307692307,0.36730769230769234
Domantas Sabonis,2022-10-18,14,3,3,1.49893559766157,20,0.07494677988307849,0.7,0.15,0.15
Deandre Ayton,2022-10-18,29,8,10,3.41389964099867,47,0.07263616257443979,0.6170212765957447,0.1702127659574468,0.2127659574468085
Jrue Holiday,2022-10-18,76,11,0,16.1339043129679,87,0.1854471760111253,0.8735632183908046,0.12643678160919541,0
C.J. McCollum,2022-10-18,2,0,0,0.30849768202819,2,0.154248841014095,1,0,0
Klay Thompson,2022-10-18,117,87,96,5.57340583703121,300,0.0185780194567707,0.39,0.29,0.32
Marcus Smart,2022-10-18,1830,855,168,250.086773189646,2853,0.08765747395360883,0.6414300736067298,0.2996845425867508,0.058885383806519455
Jarrett Allen,2022-10-18,40,13,15,7.18407706042868,68,0.10564819206512766,0.5882352941176471,0.19117647058823528,0.22058823529411764
RJ Barrett,2022-10-18,84,32,37,9.94472368530929,153,0.06499819402162935,0.5490196078431373,0.20915032679738563,0.24183006535947713
Cade Cunningham,2022-10-18,72,30,46,10.6818882014842,148,0.07217492028029865,0.4864864864864865,0.20270270270270271,0.3108108108108108
Tyrese Haliburton,2022-10-18,78,30,32,11.345086998933,140,0.08103633570666428,0.5571428571428572,0.21428571428571427,0.22857142857142856
Fred VanVleet,2022-10-18,21,14,7,1.43340796333002,42,0.03412876103166714,0.5,0.3333333333333333,0.16666666666666666
Jordan Poole,2022-10-18,1553,1036,1252,116.797927435768,3841,0.030408208132196825,0.4043217912002083,0.2697214267117938,0.32595678208799794
Stephen Curry,2022-10-19,1071,619,651,94.2385624927616,2341,0.04025568666927023,0.4574967962409227,0.26441691584792826,0.2780862879111491
Giannis Antetokounmpo,2022-10-19,97,19,33,12.2299660794064,149,0.08208030925776108,0.6510067114093959,0.12751677852348994,0.2214765100671141
Nikola Jokic,2022-10-19,117,63,58,11.3681193572863,238,0.047765207383555885,0.49159663865546216,0.2647058823529412,0.24369747899159663
Luka Doncic,2022-10-19,368,161,291,37.8855858209847,820,0.046201933928030126,0.44878048780487806,0.19634146341463415,0.3548780487804878
Kevin Durant,2022-10-19,442,325,345,19.6221757211396,1112,0.017645841475844967,0.39748201438848924,0.2922661870503597,0.3102517985611511
Joel Embiid,2022-10-19,225,241,81,-3.62064142014152,547,-0.006619088519454332,0.4113345521023766,0.4405850091407678,0.1480804387568556
Jayson Tatum,2022-10-19,356,126,200,42.0930788335628,682,0.06172005694070792,0.5219941348973607,0.18475073313782991,0.2932551319648094
LeBron James,2022-10-19,1077,820,868,34.8583360424807,2765,0.012606993143754323,0.3895117540687161,0.2965641952983725,0.3139240506329114
Devin Booker,2022-10-19,252,175,218,7.35880560681119,645,0.011409000940792542,0.39069767441860465,0.2713178294573643,0.33798449612403103
Ja Morant,2022-10-19,1539,1116,1216,97.5031700224349,3871,0.025188109021553835,0.39757168690260913,0.28829759752002065,0.3141307155773702
Jimmy Butler,2022-10-19,539,146,4,82.2340022603527,689,0.11935268833142626,0.7822931785195936,0.21190130624092887,0.005805515239477504
Kawhi Leonard,2022-10-19,105,56,50,11.3409941723361,211,0.053748787546616585,0.4976303317535545,0.26540284360189575,0.23696682464454977
Trae Young,2022-10-19,803,228,18,113.4938315689,1049,0.10819240378350811,0.765490943755958,0.21734985700667303,0.017159199237368923
Donovan Mitchell,2022-10-19,368,184,248,54.4584512886973,800,0.06807306411087162,0.46,0.23,0.31
Kyrie Irving,2022-10-19,304,198,219,19.6525605027155,721,0.02725736546839875,0.42163661581137307,0.27461858529819694,0.30374479889042993
Paul George,2022-10-19,245,125,135,26.4514402930953,505,0.05237908968929762,0.48514851485148514,0.24752475247524752,0.26732673267326734
Zach LaVine,2022-10-19,263,329,176,-21.7220482487068,768,-0.028283916990503644,0.3424479166666667,0.4283854166666667,0.22916666666666666
Damian Lillard,2022-10-19,117,60,105,11.7398601836379,282,0.04163070987105638,0.4148936170212766,0.2127659574468085,0.3723404255319149
DeMar DeRozan,2022-10-19,570,312,481,56.7021401398843,1363,0.04160098322808826,0.4181951577402788,0.2289068231841526,0.3528980190755686
Jaylen Brown,2022-10-19,305,138,162,35.56323022112,605,0.058782198712595046,0.5041322314049587,0.228099173553719,0.26776859504132233
Chris Paul,2022-10-19,388,327,317,-0.188691754723268,1032,-1.8284084760006588e-4,0.375968992248062,0.3168604651162791,0.3071705426356589
Bradley Beal,2022-10-19,142,73,137,7.15940132062371,352,0.02033920829722645,0.4034090909090909,0.20738636363636365,0.38920454545454547
LaMelo Ball,2022-10-19,55,41,23,1.74009309057843,119,0.014622631013264118,0.46218487394957986,0.3445378151260504,0.19327731092436976
Pascal Siakam,2022-10-19,122,48,73,14.0162970566392,243,0.05768023480098436,0.5020576131687243,0.19753086419753085,0.3004115226337449
Anthony Edwards,2022-10-19,176,118,176,9.13283594770889,470,0.019431565846189127,0.37446808510638296,0.251063829787234,0.37446808510638296
Brandon Ingram,2022-10-19,459,310,480,30.9126695044377,1249,0.024749935551991755,0.36749399519615694,0.24819855884707767,0.3843074459567654
Anthony Davis,2022-10-19,576,707,433,-38.6290327375121,1716,-0.022511091338876514,0.3356643356643357,0.412004662004662,0.2523310023310023
Khris Middleton,2022-10-19,20,15,9,1.77577549235318,44,0.04035853391711773,0.45454545454545453,0.3409090909090909,0.20454545454545456
Bam Adebayo,2022-10-19,110,131,70,-9.14964350082285,311,-0.02942007556534678,0.3536977491961415,0.4212218649517685,0.22508038585209003
Darius Garland,2022-10-19,170,233,161,-17.8195276808506,564,-0.03159490723555071,0.30141843971631205,0.41312056737588654,0.2854609929078014
Shai Gilgeous-Alexander,2022-10-19,50,45,55,0.754122437401772,150,0.005027482916011813,0.3333333333333333,0.3,0.36666666666666664
Karl-Anthony Towns,2022-10-19,83,48,44,3.51857367748012,175,0.0201061352998864,0.4742857142857143,0.2742857142857143,0.25142857142857145
James Harden,2022-10-19,464,797,65,-41.7244518845954,1326,-0.03146640413619563,0.34992458521870284,0.6010558069381599,0.049019607843137254
Jamal Murray,2022-10-19,238,161,216,14.3523089636686,615,0.023337087745802603,0.38699186991869916,0.26178861788617885,0.35121951219512193
De’Aaron Fox,2022-10-19,93,52,135,7.721206417899,280,0.027575737206782143,0.33214285714285713,0.18571428571428572,0.48214285714285715
Dejounte Murray,2022-10-19,269,122,96,28.0091448122623,487,0.05751364437836201,0.5523613963039015,0.25051334702258726,0.1971252566735113
Rudy Gobert,2022-10-19,388,182,188,40.0605610030269,758,0.05285034433117005,0.5118733509234829,0.24010554089709762,0.24802110817941952
Andrew Wiggins,2022-10-19,139,88,73,16.1150582630649,300,0.053716860876882995,0.4633333333333333,0.29333333333333333,0.24333333333333335
Domantas Sabonis,2022-10-19,32,11,29,3.06103689870412,72,0.042514401370890555,0.4444444444444444,0.1527777777777778,0.4027777777777778
Deandre Ayton,2022-10-19,60,59,51,-1.93387448440881,170,-0.011375732261228294,0.35294117647058826,0.34705882352941175,0.3
Jrue Holiday,2022-10-19,33,6,0,8.93727317046351,39,0.22916085052470536,0.8461538461538461,0.15384615384615385,0
C.J. McCollum,2022-10-19,14,1,2,0.819908350660891,17,0.04822990298005241,0.8235294117647058,0.058823529411764705,0.11764705882352941
Klay Thompson,2022-10-19,343,143,143,41.4533207984829,629,0.06590353068121288,0.5453100158982512,0.2273449920508744,0.2273449920508744
Marcus Smart,2022-10-19,451,281,73,35.2673867020421,805,0.04381041826340634,0.5602484472049689,0.3490683229813665,0.0906832298136646
Jarrett Allen,2022-10-19,151,111,98,11.5577989702195,360,0.03210499713949861,0.41944444444444445,0.30833333333333335,0.2722222222222222
RJ Barrett,2022-10-19,467,636,366,-56.6617765462017,1469,-0.038571665450103265,0.31790333560245065,0.4329475833900613,0.2491490810074881
Cade Cunningham,2022-10-19,190,89,159,17.0144449186047,438,0.03884576465434863,0.4337899543378995,0.20319634703196346,0.363013698630137
Tyrese Haliburton,2022-10-19,138,59,80,15.9293613949994,277,0.05750671983754296,0.4981949458483754,0.21299638989169675,0.2888086642599278
Fred VanVleet,2022-10-19,70,31,39,8.40507666620463,140,0.06003626190146164,0.5,0.22142857142857142,0.2785714285714286
Jordan Poole,2022-10-19,600,566,443,-9.69460388217856,1609,-0.0060252354768045744,0.3729024238657551,0.3517712865133623,0.2753262896208825
Jordan Poole,2022-10-20,172,131,112,6.40778242052462,415,0.015440439567529204,0.41445783132530123,0.3156626506024096,0.26987951807228916
Giannis Antetokounmpo,2022-10-20,188,108,115,18.4404262388574,411,0.04486721712617372,0.45742092457420924,0.26277372262773724,0.2798053527980535
Nikola Jokic,2022-10-20,62,53,35,1.25652177100862,150,0.008376811806724133,0.41333333333333333,0.35333333333333333,0.23333333333333334
Luka Doncic,2022-10-20,240,195,131,13.2242536931643,566,0.023364405818311486,0.42402826855123676,0.34452296819787986,0.2314487632508834
Kevin Durant,2022-10-20,387,166,176,46.4804707603955,729,0.06375921915006241,0.5308641975308642,0.22770919067215364,0.24142661179698216
Joel Embiid,2022-10-20,453,547,227,-28.3858079583541,1227,-0.023134317814469518,0.3691931540342298,0.44580277098614507,0.1850040749796251
Jayson Tatum,2022-10-20,121,46,185,9.33321069104682,352,0.026514803099564832,0.34375,0.13068181818181818,0.5255681818181818
LeBron James,2022-10-20,786,500,802,45.9711762681814,2088,0.02201684687173439,0.3764367816091954,0.23946360153256704,0.38409961685823757
Devin Booker,2022-10-20,326,194,220,34.7513381422872,740,0.046961267759847575,0.44054054054054054,0.26216216216216215,0.2972972972972973
Ja Morant,2022-10-20,445,207,234,47.9996727311406,886,0.05417570285681783,0.5022573363431151,0.23363431151241534,0.26410835214446954
Jimmy Butler,2022-10-20,217,80,11,31.0144284532003,308,0.10069619627662435,0.7045454545454546,0.2597402597402597,0.03571428571428571
Trae Young,2022-10-20,267,77,5,35.0442523225356,349,0.10041333043706475,0.7650429799426934,0.22063037249283668,0.014326647564469915
Donovan Mitchell,2022-10-20,162,86,108,14.9775074970751,356,0.042071650272682865,0.4550561797752809,0.24157303370786518,0.30337078651685395
Kyrie Irving,2022-10-20,185,177,180,-0.124241465580552,542,-2.2922779627408118e-4,0.3413284132841328,0.32656826568265684,0.33210332103321033
Paul George,2022-10-20,467,363,385,12.8190391298313,1215,0.010550649489573086,0.38436213991769547,0.29876543209876544,0.3168724279835391
Zach LaVine,2022-10-20,70,83,48,-1.20776522916423,201,-0.00600878223464791,0.3482587064676617,0.4129353233830846,0.23880597014925373
Damian Lillard,2022-10-20,106,60,65,5.95296037969343,231,0.02577039125408411,0.4588744588744589,0.2597402597402597,0.2813852813852814
DeMar DeRozan,2022-10-20,269,135,167,28.4057263373587,571,0.04974733158906953,0.4711033274956217,0.23642732049036777,0.29246935201401053
Jaylen Brown,2022-10-20,89,33,88,10.3900186042097,210,0.04947627906766524,0.4238095238095238,0.15714285714285714,0.41904761904761906
Chris Paul,2022-10-20,558,410,425,21.7961727766461,1393,0.015646929487901005,0.4005743000717875,0.29432878679109836,0.3050969131371141
Bradley Beal,2022-10-20,53,25,41,7.06364601712819,119,0.059358369891833525,0.44537815126050423,0.21008403361344538,0.3445378151260504
LaMelo Ball,2022-10-20,46,11,36,6.90734130237127,93,0.07427248712227172,0.4946236559139785,0.11827956989247312,0.3870967741935484
Pascal Siakam,2022-10-20,44,17,14,4.15094710224576,75,0.0553459613632768,0.5866666666666667,0.22666666666666666,0.18666666666666668
Anthony Edwards,2022-10-20,74,32,60,8.991045898473,166,0.054162927099234946,0.4457831325301205,0.1927710843373494,0.3614457831325301
Brandon Ingram,2022-10-20,222,100,150,28.4679642252246,472,0.060313483528018214,0.4703389830508475,0.211864406779661,0.3177966101694915
Anthony Davis,2022-10-20,479,803,662,-106.076068148668,1944,-0.054565878677298355,0.2463991769547325,0.4130658436213992,0.3405349794238683
Khris Middleton,2022-10-20,81,55,29,0.556577121592102,165,0.00337319467631577,0.4909090909090909,0.3333333333333333,0.17575757575757575
Bam Adebayo,2022-10-20,24,26,10,1.09502751165429,60,0.0182504585275715,0.4,0.43333333333333335,0.16666666666666666
Darius Garland,2022-10-20,101,109,48,-4.48561845125201,258,-0.017386118028108563,0.39147286821705424,0.42248062015503873,0.18604651162790697
Shai Gilgeous-Alexander,2022-10-20,24,26,15,-0.444872225373839,65,-0.0068441880826744465,0.36923076923076925,0.4,0.23076923076923078
Karl-Anthony Towns,2022-10-20,29,14,16,2.98745991759469,59,0.050634913857537114,0.4915254237288136,0.23728813559322035,0.2711864406779661
James Harden,2022-10-20,969,2240,79,-212.013195384758,3288,-0.0644808988396466,0.2947080291970803,0.681265206812652,0.02402676399026764
Jamal Murray,2022-10-20,66,78,26,-3.95189717942749,170,-0.023246453996632294,0.38823529411764707,0.4588235294117647,0.15294117647058825
De’Aaron Fox,2022-10-20,83,58,37,8.82572420673248,178,0.04958272026254202,0.46629213483146065,0.3258426966292135,0.20786516853932585
Dejounte Murray,2022-10-20,123,37,35,15.7058253394302,195,0.08054269404836001,0.6307692307692307,0.18974358974358974,0.1794871794871795
Rudy Gobert,2022-10-20,199,96,93,21.3884945754836,388,0.05512498601928762,0.5128865979381443,0.24742268041237114,0.23969072164948454
Andrew Wiggins,2022-10-20,59,11,32,8.71564511334953,102,0.08544750111126989,0.5784313725490197,0.10784313725490197,0.3137254901960784
